_occupied,cable,cable_end,color,created,description,display,display_url,id,label,last_updated,link_peers_type,mark_connected,module,name,owner,positions,url
False,,,,2026-03-01T05:18:39.809940Z,,Port 9,http://192.168.65.40:8000/dcim/rear-ports/13/,13,,2026-03-01T05:18:39.809959Z,,False,,Port 9,,1,http://192.168.65.40:8000/api/dcim/rear-ports/13/
False,,,,2026-03-01T05:18:39.881861Z,,Port 10,http://192.168.65.40:8000/dcim/rear-ports/14/,14,,2026-03-01T05:18:39.881888Z,,False,,Port 10,,1,http://192.168.65.40:8000/api/dcim/rear-ports/14/
False,,,,2026-03-01T05:18:39.962771Z,,Port 11,http://192.168.65.40:8000/dcim/rear-ports/15/,15,,2026-03-01T05:18:39.962792Z,,False,,Port 11,,1,http://192.168.65.40:8000/api/dcim/rear-ports/15/
False,,,,2026-03-01T05:18:40.028687Z,,Port 12,http://192.168.65.40:8000/dcim/rear-ports/16/,16,,2026-03-01T05:18:40.028706Z,,False,,Port 12,,1,http://192.168.65.40:8000/api/dcim/rear-ports/16/
False,,,,2026-03-01T05:18:40.091663Z,,Port 13,http://192.168.65.40:8000/dcim/rear-ports/17/,17,,2026-03-01T05:18:40.091682Z,,False,,Port 13,,1,http://192.168.65.40:8000/api/dcim/rear-ports/17/
False,,,,2026-03-01T05:18:40.154878Z,,Port 14,http://192.168.65.40:8000/dcim/rear-ports/18/,18,,2026-03-01T05:18:40.154897Z,,False,,Port 14,,1,http://192.168.65.40:8000/api/dcim/rear-ports/18/
False,,,,2026-03-01T05:18:40.226155Z,,Port 15,http://192.168.65.40:8000/dcim/rear-ports/19/,19,,2026-03-01T05:18:40.226175Z,,False,,Port 15,,1,http://192.168.65.40:8000/api/dcim/rear-ports/19/
False,,,,2026-03-01T05:18:40.296716Z,,Port 16,http://192.168.65.40:8000/dcim/rear-ports/20/,20,,2026-03-01T05:18:40.296735Z,,False,,Port 16,,1,http://192.168.65.40:8000/api/dcim/rear-ports/20/
False,,,,2026-03-01T05:18:40.363035Z,,Port 17,http://192.168.65.40:8000/dcim/rear-ports/21/,21,,2026-03-01T05:18:40.363055Z,,False,,Port 17,,1,http://192.168.65.40:8000/api/dcim/rear-ports/21/
False,,,,2026-03-01T05:18:40.431140Z,,Port 18,http://192.168.65.40:8000/dcim/rear-ports/22/,22,,2026-03-01T05:18:40.431160Z,,False,,Port 18,,1,http://192.168.65.40:8000/api/dcim/rear-ports/22/
False,,,,2026-03-01T05:18:40.497300Z,,Port 19,http://192.168.65.40:8000/dcim/rear-ports/23/,23,,2026-03-01T05:18:40.497320Z,,False,,Port 19,,1,http://192.168.65.40:8000/api/dcim/rear-ports/23/
False,,,,2026-03-01T05:18:40.559256Z,,Port 20,http://192.168.65.40:8000/dcim/rear-ports/24/,24,,2026-03-01T05:18:40.559275Z,,False,,Port 20,,1,http://192.168.65.40:8000/api/dcim/rear-ports/24/
False,,,,2026-03-01T05:18:40.627707Z,,Port 21,http://192.168.65.40:8000/dcim/rear-ports/25/,25,,2026-03-01T05:18:40.627728Z,,False,,Port 21,,1,http://192.168.65.40:8000/api/dcim/rear-ports/25/
False,,,,2026-03-01T05:18:40.701968Z,,Port 22,http://192.168.65.40:8000/dcim/rear-ports/26/,26,,2026-03-01T05:18:40.701987Z,,False,,Port 22,,1,http://192.168.65.40:8000/api/dcim/rear-ports/26/
False,,,,2026-03-01T05:18:40.767632Z,,Port 23,http://192.168.65.40:8000/dcim/rear-ports/27/,27,,2026-03-01T05:18:40.767652Z,,False,,Port 23,,1,http://192.168.65.40:8000/api/dcim/rear-ports/27/
False,,,,2026-03-01T05:18:40.834043Z,,Port 24,http://192.168.65.40:8000/dcim/rear-ports/28/,28,,2026-03-01T05:18:40.834062Z,,False,,Port 24,,1,http://192.168.65.40:8000/api/dcim/rear-ports/28/
False,,,,2026-03-01T05:18:40.901609Z,,Port 25,http://192.168.65.40:8000/dcim/rear-ports/29/,29,,2026-03-01T05:18:40.901629Z,,False,,Port 25,,1,http://192.168.65.40:8000/api/dcim/rear-ports/29/
False,,,,2026-03-01T05:18:40.973459Z,,Port 26,http://192.168.65.40:8000/dcim/rear-ports/30/,30,,2026-03-01T05:18:40.973484Z,,False,,Port 26,,1,http://192.168.65.40:8000/api/dcim/rear-ports/30/
False,,,,2026-03-01T05:18:41.053743Z,,Port 27,http://192.168.65.40:8000/dcim/rear-ports/31/,31,,2026-03-01T05:18:41.053763Z,,False,,Port 27,,1,http://192.168.65.40:8000/api/dcim/rear-ports/31/
False,,,,2026-03-01T05:18:41.115723Z,,Port 28,http://192.168.65.40:8000/dcim/rear-ports/32/,32,,2026-03-01T05:18:41.115743Z,,False,,Port 28,,1,http://192.168.65.40:8000/api/dcim/rear-ports/32/
False,,,,2026-03-01T05:18:41.180527Z,,Port 29,http://192.168.65.40:8000/dcim/rear-ports/33/,33,,2026-03-01T05:18:41.180547Z,,False,,Port 29,,1,http://192.168.65.40:8000/api/dcim/rear-ports/33/
False,,,,2026-03-01T05:18:41.245612Z,,Port 30,http://192.168.65.40:8000/dcim/rear-ports/34/,34,,2026-03-01T05:18:41.245633Z,,False,,Port 30,,1,http://192.168.65.40:8000/api/dcim/rear-ports/34/
False,,,,2026-03-01T05:18:41.318037Z,,Port 31,http://192.168.65.40:8000/dcim/rear-ports/35/,35,,2026-03-01T05:18:41.318057Z,,False,,Port 31,,1,http://192.168.65.40:8000/api/dcim/rear-ports/35/
False,,,,2026-03-01T05:18:41.379991Z,,Port 32,http://192.168.65.40:8000/dcim/rear-ports/36/,36,,2026-03-01T05:18:41.380011Z,,False,,Port 32,,1,http://192.168.65.40:8000/api/dcim/rear-ports/36/
False,,,,2026-03-01T05:18:41.445995Z,,Port 33,http://192.168.65.40:8000/dcim/rear-ports/37/,37,,2026-03-01T05:18:41.446015Z,,False,,Port 33,,1,http://192.168.65.40:8000/api/dcim/rear-ports/37/
False,,,,2026-03-01T05:18:41.508478Z,,Port 34,http://192.168.65.40:8000/dcim/rear-ports/38/,38,,2026-03-01T05:18:41.508498Z,,False,,Port 34,,1,http://192.168.65.40:8000/api/dcim/rear-ports/38/
False,,,,2026-03-01T05:18:41.572153Z,,Port 35,http://192.168.65.40:8000/dcim/rear-ports/39/,39,,2026-03-01T05:18:41.572172Z,,False,,Port 35,,1,http://192.168.65.40:8000/api/dcim/rear-ports/39/
False,,,,2026-03-01T05:18:41.637487Z,,Port 36,http://192.168.65.40:8000/dcim/rear-ports/40/,40,,2026-03-01T05:18:41.637510Z,,False,,Port 36,,1,http://192.168.65.40:8000/api/dcim/rear-ports/40/
False,,,,2026-03-01T05:18:41.705455Z,,Port 37,http://192.168.65.40:8000/dcim/rear-ports/41/,41,,2026-03-01T05:18:41.705474Z,,False,,Port 37,,1,http://192.168.65.40:8000/api/dcim/rear-ports/41/
False,,,,2026-03-01T05:18:41.770436Z,,Port 38,http://192.168.65.40:8000/dcim/rear-ports/42/,42,,2026-03-01T05:18:41.770456Z,,False,,Port 38,,1,http://192.168.65.40:8000/api/dcim/rear-ports/42/
False,,,,2026-03-01T05:18:41.838667Z,,Port 39,http://192.168.65.40:8000/dcim/rear-ports/43/,43,,2026-03-01T05:18:41.838688Z,,False,,Port 39,,1,http://192.168.65.40:8000/api/dcim/rear-ports/43/
False,,,,2026-03-01T05:18:41.900569Z,,Port 40,http://192.168.65.40:8000/dcim/rear-ports/44/,44,,2026-03-01T05:18:41.900588Z,,False,,Port 40,,1,http://192.168.65.40:8000/api/dcim/rear-ports/44/
False,,,,2026-03-01T05:18:41.969099Z,,Port 41,http://192.168.65.40:8000/dcim/rear-ports/45/,45,,2026-03-01T05:18:41.969119Z,,False,,Port 41,,1,http://192.168.65.40:8000/api/dcim/rear-ports/45/
False,,,,2026-03-01T05:18:42.056854Z,,Port 42,http://192.168.65.40:8000/dcim/rear-ports/46/,46,,2026-03-01T05:18:42.056875Z,,False,,Port 42,,1,http://192.168.65.40:8000/api/dcim/rear-ports/46/
False,,,,2026-03-01T05:18:42.151711Z,,Port 43,http://192.168.65.40:8000/dcim/rear-ports/47/,47,,2026-03-01T05:18:42.151731Z,,False,,Port 43,,1,http://192.168.65.40:8000/api/dcim/rear-ports/47/
False,,,,2026-03-01T05:18:42.239184Z,,Port 44,http://192.168.65.40:8000/dcim/rear-ports/48/,48,,2026-03-01T05:18:42.239204Z,,False,,Port 44,,1,http://192.168.65.40:8000/api/dcim/rear-ports/48/
False,,,,2026-03-01T05:18:42.351610Z,,Port 45,http://192.168.65.40:8000/dcim/rear-ports/49/,49,,2026-03-01T05:18:42.351629Z,,False,,Port 45,,1,http://192.168.65.40:8000/api/dcim/rear-ports/49/
False,,,,2026-03-01T05:18:42.434842Z,,Port 46,http://192.168.65.40:8000/dcim/rear-ports/50/,50,,2026-03-01T05:18:42.434861Z,,False,,Port 46,,1,http://192.168.65.40:8000/api/dcim/rear-ports/50/
False,,,,2026-03-01T05:18:42.497973Z,,Port 47,http://192.168.65.40:8000/dcim/rear-ports/51/,51,,2026-03-01T05:18:42.497992Z,,False,,Port 47,,1,http://192.168.65.40:8000/api/dcim/rear-ports/51/
False,,,,2026-03-01T05:18:42.558267Z,,Port 48,http://192.168.65.40:8000/dcim/rear-ports/52/,52,,2026-03-01T05:18:42.558285Z,,False,,Port 48,,1,http://192.168.65.40:8000/api/dcim/rear-ports/52/
False,,,,2026-03-01T05:18:42.633322Z,,Port 1,http://192.168.65.40:8000/dcim/rear-ports/53/,53,,2026-03-01T05:18:42.633341Z,,False,,Port 1,,1,http://192.168.65.40:8000/api/dcim/rear-ports/53/
False,,,,2026-03-01T05:18:42.697008Z,,Port 2,http://192.168.65.40:8000/dcim/rear-ports/54/,54,,2026-03-01T05:18:42.697028Z,,False,,Port 2,,1,http://192.168.65.40:8000/api/dcim/rear-ports/54/
False,,,,2026-03-01T05:18:42.758532Z,,Port 3,http://192.168.65.40:8000/dcim/rear-ports/55/,55,,2026-03-01T05:18:42.758551Z,,False,,Port 3,,1,http://192.168.65.40:8000/api/dcim/rear-ports/55/
False,,,,2026-03-01T05:18:42.825587Z,,Port 4,http://192.168.65.40:8000/dcim/rear-ports/56/,56,,2026-03-01T05:18:42.825607Z,,False,,Port 4,,1,http://192.168.65.40:8000/api/dcim/rear-ports/56/
False,,,,2026-03-01T05:18:42.888984Z,,Port 5,http://192.168.65.40:8000/dcim/rear-ports/57/,57,,2026-03-01T05:18:42.889004Z,,False,,Port 5,,1,http://192.168.65.40:8000/api/dcim/rear-ports/57/
False,,,,2026-03-01T05:18:42.966678Z,,Port 6,http://192.168.65.40:8000/dcim/rear-ports/58/,58,,2026-03-01T05:18:42.966697Z,,False,,Port 6,,1,http://192.168.65.40:8000/api/dcim/rear-ports/58/
False,,,,2026-03-01T05:18:43.028473Z,,Port 7,http://192.168.65.40:8000/dcim/rear-ports/59/,59,,2026-03-01T05:18:43.028492Z,,False,,Port 7,,1,http://192.168.65.40:8000/api/dcim/rear-ports/59/
False,,,,2026-03-01T05:18:43.099295Z,,Port 8,http://192.168.65.40:8000/dcim/rear-ports/60/,60,,2026-03-01T05:18:43.099315Z,,False,,Port 8,,1,http://192.168.65.40:8000/api/dcim/rear-ports/60/
False,,,,2026-03-01T05:18:43.203433Z,,Port 9,http://192.168.65.40:8000/dcim/rear-ports/61/,61,,2026-03-01T05:18:43.203453Z,,False,,Port 9,,1,http://192.168.65.40:8000/api/dcim/rear-ports/61/
False,,,,2026-03-01T05:18:43.267860Z,,Port 10,http://192.168.65.40:8000/dcim/rear-ports/62/,62,,2026-03-01T05:18:43.267881Z,,False,,Port 10,,1,http://192.168.65.40:8000/api/dcim/rear-ports/62/
False,,,,2026-03-01T05:18:43.332257Z,,Port 11,http://192.168.65.40:8000/dcim/rear-ports/63/,63,,2026-03-01T05:18:43.332276Z,,False,,Port 11,,1,http://192.168.65.40:8000/api/dcim/rear-ports/63/
False,,,,2026-03-01T05:18:43.399809Z,,Port 12,http://192.168.65.40:8000/dcim/rear-ports/64/,64,,2026-03-01T05:18:43.399828Z,,False,,Port 12,,1,http://192.168.65.40:8000/api/dcim/rear-ports/64/
False,,,,2026-03-01T05:18:43.496371Z,,Port 13,http://192.168.65.40:8000/dcim/rear-ports/65/,65,,2026-03-01T05:18:43.496393Z,,False,,Port 13,,1,http://192.168.65.40:8000/api/dcim/rear-ports/65/
False,,,,2026-03-01T05:18:43.569610Z,,Port 14,http://192.168.65.40:8000/dcim/rear-ports/66/,66,,2026-03-01T05:18:43.569629Z,,False,,Port 14,,1,http://192.168.65.40:8000/api/dcim/rear-ports/66/
False,,,,2026-03-01T05:18:43.656431Z,,Port 15,http://192.168.65.40:8000/dcim/rear-ports/67/,67,,2026-03-01T05:18:43.656451Z,,False,,Port 15,,1,http://192.168.65.40:8000/api/dcim/rear-ports/67/
False,,,,2026-03-01T05:18:43.729667Z,,Port 16,http://192.168.65.40:8000/dcim/rear-ports/68/,68,,2026-03-01T05:18:43.729685Z,,False,,Port 16,,1,http://192.168.65.40:8000/api/dcim/rear-ports/68/
False,,,,2026-03-01T05:18:43.791408Z,,Port 17,http://192.168.65.40:8000/dcim/rear-ports/69/,69,,2026-03-01T05:18:43.791429Z,,False,,Port 17,,1,http://192.168.65.40:8000/api/dcim/rear-ports/69/
False,,,,2026-03-01T05:18:43.854635Z,,Port 18,http://192.168.65.40:8000/dcim/rear-ports/70/,70,,2026-03-01T05:18:43.854656Z,,False,,Port 18,,1,http://192.168.65.40:8000/api/dcim/rear-ports/70/
False,,,,2026-03-01T05:18:43.916792Z,,Port 19,http://192.168.65.40:8000/dcim/rear-ports/71/,71,,2026-03-01T05:18:43.916811Z,,False,,Port 19,,1,http://192.168.65.40:8000/api/dcim/rear-ports/71/
False,,,,2026-03-01T05:18:43.982717Z,,Port 20,http://192.168.65.40:8000/dcim/rear-ports/72/,72,,2026-03-01T05:18:43.982737Z,,False,,Port 20,,1,http://192.168.65.40:8000/api/dcim/rear-ports/72/
False,,,,2026-03-01T05:18:44.045829Z,,Port 21,http://192.168.65.40:8000/dcim/rear-ports/73/,73,,2026-03-01T05:18:44.045848Z,,False,,Port 21,,1,http://192.168.65.40:8000/api/dcim/rear-ports/73/
False,,,,2026-03-01T05:18:44.108857Z,,Port 22,http://192.168.65.40:8000/dcim/rear-ports/74/,74,,2026-03-01T05:18:44.108878Z,,False,,Port 22,,1,http://192.168.65.40:8000/api/dcim/rear-ports/74/
False,,,,2026-03-01T05:18:44.198149Z,,Port 23,http://192.168.65.40:8000/dcim/rear-ports/75/,75,,2026-03-01T05:18:44.198169Z,,False,,Port 23,,1,http://192.168.65.40:8000/api/dcim/rear-ports/75/
False,,,,2026-03-01T05:18:44.266785Z,,Port 24,http://192.168.65.40:8000/dcim/rear-ports/76/,76,,2026-03-01T05:18:44.266805Z,,False,,Port 24,,1,http://192.168.65.40:8000/api/dcim/rear-ports/76/
False,,,,2026-03-01T05:18:44.326492Z,,Port 25,http://192.168.65.40:8000/dcim/rear-ports/77/,77,,2026-03-01T05:18:44.326512Z,,False,,Port 25,,1,http://192.168.65.40:8000/api/dcim/rear-ports/77/
False,,,,2026-03-01T05:18:44.390641Z,,Port 26,http://192.168.65.40:8000/dcim/rear-ports/78/,78,,2026-03-01T05:18:44.390662Z,,False,,Port 26,,1,http://192.168.65.40:8000/api/dcim/rear-ports/78/
False,,,,2026-03-01T05:18:44.455845Z,,Port 27,http://192.168.65.40:8000/dcim/rear-ports/79/,79,,2026-03-01T05:18:44.455864Z,,False,,Port 27,,1,http://192.168.65.40:8000/api/dcim/rear-ports/79/
False,,,,2026-03-01T05:18:44.518596Z,,Port 28,http://192.168.65.40:8000/dcim/rear-ports/80/,80,,2026-03-01T05:18:44.518616Z,,False,,Port 28,,1,http://192.168.65.40:8000/api/dcim/rear-ports/80/
False,,,,2026-03-01T05:18:44.586381Z,,Port 29,http://192.168.65.40:8000/dcim/rear-ports/81/,81,,2026-03-01T05:18:44.586417Z,,False,,Port 29,,1,http://192.168.65.40:8000/api/dcim/rear-ports/81/
False,,,,2026-03-01T05:18:44.653187Z,,Port 30,http://192.168.65.40:8000/dcim/rear-ports/82/,82,,2026-03-01T05:18:44.653206Z,,False,,Port 30,,1,http://192.168.65.40:8000/api/dcim/rear-ports/82/
False,,,,2026-03-01T05:18:44.714638Z,,Port 31,http://192.168.65.40:8000/dcim/rear-ports/83/,83,,2026-03-01T05:18:44.714658Z,,False,,Port 31,,1,http://192.168.65.40:8000/api/dcim/rear-ports/83/
False,,,,2026-03-01T05:18:44.777595Z,,Port 32,http://192.168.65.40:8000/dcim/rear-ports/84/,84,,2026-03-01T05:18:44.777615Z,,False,,Port 32,,1,http://192.168.65.40:8000/api/dcim/rear-ports/84/
False,,,,2026-03-01T05:18:44.839593Z,,Port 33,http://192.168.65.40:8000/dcim/rear-ports/85/,85,,2026-03-01T05:18:44.839612Z,,False,,Port 33,,1,http://192.168.65.40:8000/api/dcim/rear-ports/85/
False,,,,2026-03-01T05:18:44.905994Z,,Port 34,http://192.168.65.40:8000/dcim/rear-ports/86/,86,,2026-03-01T05:18:44.906013Z,,False,,Port 34,,1,http://192.168.65.40:8000/api/dcim/rear-ports/86/
False,,,,2026-03-01T05:18:44.966885Z,,Port 35,http://192.168.65.40:8000/dcim/rear-ports/87/,87,,2026-03-01T05:18:44.966904Z,,False,,Port 35,,1,http://192.168.65.40:8000/api/dcim/rear-ports/87/
False,,,,2026-03-01T05:18:46.093783Z,,Port 36,http://192.168.65.40:8000/dcim/rear-ports/88/,88,,2026-03-01T05:18:46.093801Z,,False,,Port 36,,1,http://192.168.65.40:8000/api/dcim/rear-ports/88/
False,,,,2026-03-01T05:18:46.169020Z,,Port 37,http://192.168.65.40:8000/dcim/rear-ports/89/,89,,2026-03-01T05:18:46.169039Z,,False,,Port 37,,1,http://192.168.65.40:8000/api/dcim/rear-ports/89/
False,,,,2026-03-01T05:18:46.236043Z,,Port 38,http://192.168.65.40:8000/dcim/rear-ports/90/,90,,2026-03-01T05:18:46.236062Z,,False,,Port 38,,1,http://192.168.65.40:8000/api/dcim/rear-ports/90/
False,,,,2026-03-01T05:18:46.317910Z,,Port 39,http://192.168.65.40:8000/dcim/rear-ports/91/,91,,2026-03-01T05:18:46.317929Z,,False,,Port 39,,1,http://192.168.65.40:8000/api/dcim/rear-ports/91/
False,,,,2026-03-01T05:18:47.430683Z,,Port 40,http://192.168.65.40:8000/dcim/rear-ports/92/,92,,2026-03-01T05:18:47.430703Z,,False,,Port 40,,1,http://192.168.65.40:8000/api/dcim/rear-ports/92/
False,,,,2026-03-01T05:18:47.517606Z,,Port 41,http://192.168.65.40:8000/dcim/rear-ports/93/,93,,2026-03-01T05:18:47.517625Z,,False,,Port 41,,1,http://192.168.65.40:8000/api/dcim/rear-ports/93/
False,,,,2026-03-01T05:18:47.585489Z,,Port 42,http://192.168.65.40:8000/dcim/rear-ports/94/,94,,2026-03-01T05:18:47.585508Z,,False,,Port 42,,1,http://192.168.65.40:8000/api/dcim/rear-ports/94/
False,,,,2026-03-01T05:18:47.651967Z,,Port 43,http://192.168.65.40:8000/dcim/rear-ports/95/,95,,2026-03-01T05:18:47.651987Z,,False,,Port 43,,1,http://192.168.65.40:8000/api/dcim/rear-ports/95/
False,,,,2026-03-01T05:18:47.720665Z,,Port 44,http://192.168.65.40:8000/dcim/rear-ports/96/,96,,2026-03-01T05:18:47.720684Z,,False,,Port 44,,1,http://192.168.65.40:8000/api/dcim/rear-ports/96/
False,,,,2026-03-01T05:18:47.783279Z,,Port 45,http://192.168.65.40:8000/dcim/rear-ports/97/,97,,2026-03-01T05:18:47.783298Z,,False,,Port 45,,1,http://192.168.65.40:8000/api/dcim/rear-ports/97/
False,,,,2026-03-01T05:18:47.848814Z,,Port 46,http://192.168.65.40:8000/dcim/rear-ports/98/,98,,2026-03-01T05:18:47.848832Z,,False,,Port 46,,1,http://192.168.65.40:8000/api/dcim/rear-ports/98/
False,,,,2026-03-01T05:18:47.910207Z,,Port 47,http://192.168.65.40:8000/dcim/rear-ports/99/,99,,2026-03-01T05:18:47.910226Z,,False,,Port 47,,1,http://192.168.65.40:8000/api/dcim/rear-ports/99/
False,,,,2026-03-01T05:18:47.980710Z,,Port 48,http://192.168.65.40:8000/dcim/rear-ports/100/,100,,2026-03-01T05:18:47.980729Z,,False,,Port 48,,1,http://192.168.65.40:8000/api/dcim/rear-ports/100/
False,,,,2026-03-01T05:18:48.043525Z,,Port 1,http://192.168.65.40:8000/dcim/rear-ports/101/,101,,2026-03-01T05:18:48.043544Z,,False,,Port 1,,1,http://192.168.65.40:8000/api/dcim/rear-ports/101/
False,,,,2026-03-01T05:18:48.105468Z,,Port 2,http://192.168.65.40:8000/dcim/rear-ports/102/,102,,2026-03-01T05:18:48.105487Z,,False,,Port 2,,1,http://192.168.65.40:8000/api/dcim/rear-ports/102/
False,,,,2026-03-01T05:18:48.174056Z,,Port 3,http://192.168.65.40:8000/dcim/rear-ports/103/,103,,2026-03-01T05:18:48.174076Z,,False,,Port 3,,1,http://192.168.65.40:8000/api/dcim/rear-ports/103/
False,,,,2026-03-01T05:18:48.237198Z,,Port 4,http://192.168.65.40:8000/dcim/rear-ports/104/,104,,2026-03-01T05:18:48.237218Z,,False,,Port 4,,1,http://192.168.65.40:8000/api/dcim/rear-ports/104/
False,,,,2026-03-01T05:18:48.298920Z,,Port 5,http://192.168.65.40:8000/dcim/rear-ports/105/,105,,2026-03-01T05:18:48.298938Z,,False,,Port 5,,1,http://192.168.65.40:8000/api/dcim/rear-ports/105/
False,,,,2026-03-01T05:18:48.375957Z,,Port 6,http://192.168.65.40:8000/dcim/rear-ports/106/,106,,2026-03-01T05:18:48.375979Z,,False,,Port 6,,1,http://192.168.65.40:8000/api/dcim/rear-ports/106/
False,,,,2026-03-01T05:18:48.447512Z,,Port 7,http://192.168.65.40:8000/dcim/rear-ports/107/,107,,2026-03-01T05:18:48.447531Z,,False,,Port 7,,1,http://192.168.65.40:8000/api/dcim/rear-ports/107/
False,,,,2026-03-01T05:18:48.517767Z,,Port 8,http://192.168.65.40:8000/dcim/rear-ports/108/,108,,2026-03-01T05:18:48.517787Z,,False,,Port 8,,1,http://192.168.65.40:8000/api/dcim/rear-ports/108/
False,,,,2026-03-01T05:18:48.595083Z,,Port 9,http://192.168.65.40:8000/dcim/rear-ports/109/,109,,2026-03-01T05:18:48.595107Z,,False,,Port 9,,1,http://192.168.65.40:8000/api/dcim/rear-ports/109/
False,,,,2026-03-01T05:18:48.694131Z,,Port 10,http://192.168.65.40:8000/dcim/rear-ports/110/,110,,2026-03-01T05:18:48.694153Z,,False,,Port 10,,1,http://192.168.65.40:8000/api/dcim/rear-ports/110/
False,,,,2026-03-01T05:18:48.760845Z,,Port 11,http://192.168.65.40:8000/dcim/rear-ports/111/,111,,2026-03-01T05:18:48.760864Z,,False,,Port 11,,1,http://192.168.65.40:8000/api/dcim/rear-ports/111/
False,,,,2026-03-01T05:18:48.824445Z,,Port 12,http://192.168.65.40:8000/dcim/rear-ports/112/,112,,2026-03-01T05:18:48.824464Z,,False,,Port 12,,1,http://192.168.65.40:8000/api/dcim/rear-ports/112/
False,,,,2026-03-01T05:18:48.890603Z,,Port 13,http://192.168.65.40:8000/dcim/rear-ports/113/,113,,2026-03-01T05:18:48.890623Z,,False,,Port 13,,1,http://192.168.65.40:8000/api/dcim/rear-ports/113/
False,,,,2026-03-01T05:18:48.957554Z,,Port 14,http://192.168.65.40:8000/dcim/rear-ports/114/,114,,2026-03-01T05:18:48.957575Z,,False,,Port 14,,1,http://192.168.65.40:8000/api/dcim/rear-ports/114/
False,,,,2026-03-01T05:18:49.034549Z,,Port 15,http://192.168.65.40:8000/dcim/rear-ports/115/,115,,2026-03-01T05:18:49.034569Z,,False,,Port 15,,1,http://192.168.65.40:8000/api/dcim/rear-ports/115/
False,,,,2026-03-01T05:18:49.099124Z,,Port 16,http://192.168.65.40:8000/dcim/rear-ports/116/,116,,2026-03-01T05:18:49.099143Z,,False,,Port 16,,1,http://192.168.65.40:8000/api/dcim/rear-ports/116/
False,,,,2026-03-01T05:18:49.168739Z,,Port 17,http://192.168.65.40:8000/dcim/rear-ports/117/,117,,2026-03-01T05:18:49.168759Z,,False,,Port 17,,1,http://192.168.65.40:8000/api/dcim/rear-ports/117/
False,,,,2026-03-01T05:18:49.232079Z,,Port 18,http://192.168.65.40:8000/dcim/rear-ports/118/,118,,2026-03-01T05:18:49.232099Z,,False,,Port 18,,1,http://192.168.65.40:8000/api/dcim/rear-ports/118/
False,,,,2026-03-01T05:18:49.297719Z,,Port 19,http://192.168.65.40:8000/dcim/rear-ports/119/,119,,2026-03-01T05:18:49.297738Z,,False,,Port 19,,1,http://192.168.65.40:8000/api/dcim/rear-ports/119/
