_occupied,cable,cable_end,color,connected_endpoints,connected_endpoints_reachable,connected_endpoints_type,created,custom_fields,description,device,display,display_url,feed_leg,id,label,last_updated,link_peers,link_peers_type,mark_connected,module,name,owner,power_port,status,tags,type,url
False,,,,,,,2026-03-01T05:02:09.234511Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 3,http://192.168.65.40:8000/dcim/power-outlets/11/,,11,,2026-03-01T05:02:09.234531Z,[],,False,,Outlet 3,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/11/
False,,,,,,,2026-03-01T05:02:09.299859Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 4,http://192.168.65.40:8000/dcim/power-outlets/12/,,12,,2026-03-01T05:02:09.299878Z,[],,False,,Outlet 4,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/12/
False,,,,,,,2026-03-01T05:02:09.364463Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 5,http://192.168.65.40:8000/dcim/power-outlets/13/,,13,,2026-03-01T05:02:09.364484Z,[],,False,,Outlet 5,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/13/
False,,,,,,,2026-03-01T05:02:09.429453Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 6,http://192.168.65.40:8000/dcim/power-outlets/14/,,14,,2026-03-01T05:02:09.429476Z,[],,False,,Outlet 6,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/14/
False,,,,,,,2026-03-01T05:02:09.494003Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 7,http://192.168.65.40:8000/dcim/power-outlets/15/,,15,,2026-03-01T05:02:09.494023Z,[],,False,,Outlet 7,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/15/
False,,,,,,,2026-03-01T05:02:09.559110Z,{},,"{""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}",Outlet 8,http://192.168.65.40:8000/dcim/power-outlets/16/,,16,,2026-03-01T05:02:09.559130Z,[],,False,,Outlet 8,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-albany-pdu01"", ""id"": 4, ""name"": ""dmi01-albany-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/4/""}, ""display"": ""Input"", ""id"": 4, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/4/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/16/
True,"{""description"": """", ""display"": ""#28"", ""id"": 28, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/28/""}",B,,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#28"", ""id"": 28, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/28/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-rtr01"", ""id"": 8, ""name"": ""dmi01-binghamton-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/8/""}, ""display"": ""PSU0"", ""id"": 8, ""name"": ""PSU0"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/8/""}]",True,dcim.powerport,2026-03-01T05:02:09.622554Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}",Outlet 1,http://192.168.65.40:8000/dcim/power-outlets/17/,,17,,2026-03-01T05:02:24.161195Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#28"", ""id"": 28, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/28/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-rtr01"", ""id"": 8, ""name"": ""dmi01-binghamton-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/8/""}, ""display"": ""PSU0"", ""id"": 8, ""name"": ""PSU0"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/8/""}]",dcim.powerport,False,,Outlet 1,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}, ""display"": ""Input"", ""id"": 7, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/7/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/17/
True,"{""description"": """", ""display"": ""#29"", ""id"": 29, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/29/""}",B,,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#29"", ""id"": 29, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/29/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""Power Port"", ""id"": 9, ""name"": ""Power Port"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/9/""}]",True,dcim.powerport,2026-03-01T05:02:09.687897Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}",Outlet 2,http://192.168.65.40:8000/dcim/power-outlets/18/,,18,,2026-03-01T05:02:24.469134Z,"[{""_occupied"": true, ""cable"": {""description"": """", ""display"": ""#29"", ""id"": 29, ""label"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/cables/29/""}, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-sw01"", ""id"": 9, ""name"": ""dmi01-binghamton-sw01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/9/""}, ""display"": ""Power Port"", ""id"": 9, ""name"": ""Power Port"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/9/""}]",dcim.powerport,False,,Outlet 2,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}, ""display"": ""Input"", ""id"": 7, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/7/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/18/
False,,,,,,,2026-03-01T05:02:09.754487Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}",Outlet 3,http://192.168.65.40:8000/dcim/power-outlets/19/,,19,,2026-03-01T05:02:09.754506Z,[],,False,,Outlet 3,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}, ""display"": ""Input"", ""id"": 7, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/7/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/19/
False,,,,,,,2026-03-01T05:02:09.819638Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}",Outlet 4,http://192.168.65.40:8000/dcim/power-outlets/20/,,20,,2026-03-01T05:02:09.819658Z,[],,False,,Outlet 4,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}, ""display"": ""Input"", ""id"": 7, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/7/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/20/
False,,,,,,,2026-03-01T05:02:09.887023Z,{},,"{""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}",Outlet 5,http://192.168.65.40:8000/dcim/power-outlets/21/,,21,,2026-03-01T05:02:09.887043Z,[],,False,,Outlet 5,,"{""_occupied"": false, ""cable"": null, ""description"": """", ""device"": {""description"": """", ""display"": ""dmi01-binghamton-pdu01"", ""id"": 7, ""name"": ""dmi01-binghamton-pdu01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/7/""}, ""display"": ""Input"", ""id"": 7, ""name"": ""Input"", ""url"": ""http://192.168.65.40:8000/api/dcim/power-ports/7/""}","{""label"": ""Enabled"", ""value"": ""enabled""}",[],"{""label"": ""NEMA 5-20R"", ""value"": ""nema-5-20r""}",http://192.168.65.40:8000/api/dcim/power-outlets/21/
