_occupied,cable,cable_end,connected_endpoints,connected_endpoints_reachable,connected_endpoints_type,created,custom_fields,description,device,display,display_url,id,label,last_updated,link_peers,link_peers_type,mark_connected,module,name,owner,speed,tags,type,url
False,,,,,,2026-03-01T05:01:58.295964Z,{},,"{""description"": """", ""display"": ""dmi01-syracuse-rtr01"", ""id"": 32, ""name"": ""dmi01-syracuse-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/32/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/21/,21,,2026-03-01T05:01:58.295982Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/21/
False,,,,,,2026-03-01T05:01:58.353914Z,{},,"{""description"": """", ""display"": ""dmi01-syracuse-rtr01"", ""id"": 32, ""name"": ""dmi01-syracuse-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/32/""}",usb,http://192.168.65.40:8000/dcim/console-ports/22/,22,,2026-03-01T05:01:58.353933Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/22/
False,,,,,,2026-03-01T05:01:58.407615Z,{},,"{""description"": """", ""display"": ""dmi01-utica-rtr01"", ""id"": 35, ""name"": ""dmi01-utica-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/35/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/23/,23,,2026-03-01T05:01:58.407635Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/23/
False,,,,,,2026-03-01T05:01:58.465142Z,{},,"{""description"": """", ""display"": ""dmi01-utica-rtr01"", ""id"": 35, ""name"": ""dmi01-utica-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/35/""}",usb,http://192.168.65.40:8000/dcim/console-ports/24/,24,,2026-03-01T05:01:58.465161Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/24/
False,,,,,,2026-03-01T05:01:58.517122Z,{},,"{""description"": """", ""display"": ""dmi01-yonkers-rtr01"", ""id"": 38, ""name"": ""dmi01-yonkers-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/38/""}",con 0,http://192.168.65.40:8000/dcim/console-ports/25/,25,,2026-03-01T05:01:58.517141Z,[],,False,,con 0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/25/
False,,,,,,2026-03-01T05:01:58.583377Z,{},,"{""description"": """", ""display"": ""dmi01-yonkers-rtr01"", ""id"": 38, ""name"": ""dmi01-yonkers-rtr01"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/38/""}",usb,http://192.168.65.40:8000/dcim/console-ports/26/,26,,2026-03-01T05:01:58.583397Z,[],,False,,usb,,,[],"{""label"": ""USB Mini B"", ""value"": ""usb-mini-b""}",http://192.168.65.40:8000/api/dcim/console-ports/26/
False,,,,,,2026-03-01T05:01:58.645118Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Console-RE0,http://192.168.65.40:8000/dcim/console-ports/27/,27,,2026-03-01T05:01:58.645137Z,[],,False,,Console-RE0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/27/
False,,,,,,2026-03-01T05:01:58.702979Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Console-RE1,http://192.168.65.40:8000/dcim/console-ports/28/,28,,2026-03-01T05:01:58.702998Z,[],,False,,Console-RE1,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/28/
False,,,,,,2026-03-01T05:01:58.755848Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Console-RE0,http://192.168.65.40:8000/dcim/console-ports/29/,29,,2026-03-01T05:01:58.755868Z,[],,False,,Console-RE0,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/29/
False,,,,,,2026-03-01T05:01:58.813465Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Console-RE1,http://192.168.65.40:8000/dcim/console-ports/30/,30,,2026-03-01T05:01:58.813483Z,[],,False,,Console-RE1,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/30/
False,,,,,,2026-03-01T05:01:58.865210Z,{},,"{""description"": """", ""display"": ""ncsu117-distswitch1"", ""id"": 42, ""name"": ""ncsu117-distswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/42/""}",Console,http://192.168.65.40:8000/dcim/console-ports/31/,31,,2026-03-01T05:01:58.865229Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/31/
False,,,,,,2026-03-01T05:01:58.918303Z,{},,"{""description"": """", ""display"": ""ncsu118-distswitch1"", ""id"": 43, ""name"": ""ncsu118-distswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/43/""}",Console,http://192.168.65.40:8000/dcim/console-ports/32/,32,,2026-03-01T05:01:58.918322Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/32/
False,,,,,,2026-03-01T05:01:58.970975Z,{},,"{""description"": """", ""display"": ""ncsu128-distswitch1"", ""id"": 44, ""name"": ""ncsu128-distswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/44/""}",Console,http://192.168.65.40:8000/dcim/console-ports/33/,33,,2026-03-01T05:01:58.970994Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/33/
False,,,,,,2026-03-01T05:01:59.028411Z,{},,"{""description"": """", ""display"": ""r105-torsw:1"", ""id"": 64, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/64/""}",Console,http://192.168.65.40:8000/dcim/console-ports/34/,34,,2026-03-01T05:01:59.028430Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/34/
False,,,,,,2026-03-01T05:01:59.083906Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (65)"", ""id"": 65, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/65/""}",Console,http://192.168.65.40:8000/dcim/console-ports/35/,35,,2026-03-01T05:01:59.083926Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/35/
False,,,,,,2026-03-01T05:01:59.144222Z,{},,"{""description"": """", ""display"": ""r106-torsw:1"", ""id"": 66, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/66/""}",Console,http://192.168.65.40:8000/dcim/console-ports/36/,36,,2026-03-01T05:01:59.144242Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/36/
False,,,,,,2026-03-01T05:01:59.203153Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (67)"", ""id"": 67, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/67/""}",Console,http://192.168.65.40:8000/dcim/console-ports/37/,37,,2026-03-01T05:01:59.203175Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/37/
False,,,,,,2026-03-01T05:01:59.258802Z,{},,"{""description"": """", ""display"": ""r107-torsw:1"", ""id"": 68, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/68/""}",Console,http://192.168.65.40:8000/dcim/console-ports/38/,38,,2026-03-01T05:01:59.258822Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/38/
False,,,,,,2026-03-01T05:01:59.312361Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (69)"", ""id"": 69, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/69/""}",Console,http://192.168.65.40:8000/dcim/console-ports/39/,39,,2026-03-01T05:01:59.312381Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/39/
False,,,,,,2026-03-01T05:01:59.369538Z,{},,"{""description"": """", ""display"": ""r108-torsw:1"", ""id"": 70, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/70/""}",Console,http://192.168.65.40:8000/dcim/console-ports/40/,40,,2026-03-01T05:01:59.369558Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/40/
False,,,,,,2026-03-01T05:01:59.430489Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (71)"", ""id"": 71, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/71/""}",Console,http://192.168.65.40:8000/dcim/console-ports/41/,41,,2026-03-01T05:01:59.430510Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/41/
False,,,,,,2026-03-01T06:35:21.852237Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (87)"", ""id"": 87, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/87/""}",Console,http://192.168.65.40:8000/dcim/console-ports/42/,42,,2026-03-01T06:35:21.852258Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/42/
False,,,,,,2026-03-01T06:35:21.929159Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (89)"", ""id"": 89, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/89/""}",Console,http://192.168.65.40:8000/dcim/console-ports/43/,43,,2026-03-01T06:35:21.929179Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/43/
False,,,,,,2026-03-01T06:35:21.987383Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (91)"", ""id"": 91, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/91/""}",Console,http://192.168.65.40:8000/dcim/console-ports/44/,44,,2026-03-01T06:35:21.987404Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/44/
False,,,,,,2026-03-01T06:35:22.045481Z,{},,"{""description"": """", ""display"": ""Juniper QFX5100-48T-6Q (93)"", ""id"": 93, ""name"": null, ""url"": ""http://192.168.65.40:8000/api/dcim/devices/93/""}",Console,http://192.168.65.40:8000/dcim/console-ports/45/,45,,2026-03-01T06:35:22.045501Z,[],,False,,Console,,,[],"{""label"": ""RJ-45"", ""value"": ""rj-45""}",http://192.168.65.40:8000/api/dcim/console-ports/45/
