created,custom_fields,description,device,display,display_url,id,installed_module,label,last_updated,module,name,owner,position,tags,url
2026-03-01T04:57:26.289390Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 12,http://192.168.65.40:8000/dcim/module-bays/11/,11,,,2026-03-01T05:11:07.129508Z,,Slot 12,,12,[],http://192.168.65.40:8000/api/dcim/module-bays/11/
2026-03-01T04:57:26.346113Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 13,http://192.168.65.40:8000/dcim/module-bays/12/,12,,,2026-03-01T05:11:07.251627Z,,Slot 13,,13,[],http://192.168.65.40:8000/api/dcim/module-bays/12/
2026-03-01T04:57:26.450238Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 2,http://192.168.65.40:8000/dcim/module-bays/13/,13,,,2026-03-01T05:11:07.472649Z,,Slot 2,,2,[],http://192.168.65.40:8000/api/dcim/module-bays/13/
2026-03-01T04:57:26.509052Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 3,http://192.168.65.40:8000/dcim/module-bays/14/,14,,,2026-03-01T05:11:07.741534Z,,Slot 3,,3,[],http://192.168.65.40:8000/api/dcim/module-bays/14/
2026-03-01T04:57:26.567141Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 4,http://192.168.65.40:8000/dcim/module-bays/15/,15,,,2026-03-01T05:11:07.946354Z,,Slot 4,,4,[],http://192.168.65.40:8000/api/dcim/module-bays/15/
2026-03-01T04:57:26.621972Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 5,http://192.168.65.40:8000/dcim/module-bays/16/,16,,,2026-03-01T05:11:08.154060Z,,Slot 5,,5,[],http://192.168.65.40:8000/api/dcim/module-bays/16/
2026-03-01T04:57:26.677643Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 6,http://192.168.65.40:8000/dcim/module-bays/17/,17,,,2026-03-01T05:11:08.291502Z,,Slot 6,,6,[],http://192.168.65.40:8000/api/dcim/module-bays/17/
2026-03-01T04:57:26.733089Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 7,http://192.168.65.40:8000/dcim/module-bays/18/,18,,,2026-03-01T05:11:08.462171Z,,Slot 7,,7,[],http://192.168.65.40:8000/api/dcim/module-bays/18/
2026-03-01T04:57:26.795155Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 8,http://192.168.65.40:8000/dcim/module-bays/19/,19,,,2026-03-01T05:11:09.212433Z,,Slot 8,,8,[],http://192.168.65.40:8000/api/dcim/module-bays/19/
2026-03-01T04:57:26.856140Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 9,http://192.168.65.40:8000/dcim/module-bays/20/,20,,,2026-03-01T05:11:09.395577Z,,Slot 9,,9,[],http://192.168.65.40:8000/api/dcim/module-bays/20/
2026-03-01T04:57:26.917315Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 10,http://192.168.65.40:8000/dcim/module-bays/21/,21,,,2026-03-01T05:11:09.586501Z,,Slot 10,,10,[],http://192.168.65.40:8000/api/dcim/module-bays/21/
2026-03-01T04:57:26.972974Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 11,http://192.168.65.40:8000/dcim/module-bays/22/,22,,,2026-03-01T05:11:09.711952Z,,Slot 11,,11,[],http://192.168.65.40:8000/api/dcim/module-bays/22/
2026-03-01T04:57:27.030017Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 12,http://192.168.65.40:8000/dcim/module-bays/23/,23,,,2026-03-01T05:11:09.830607Z,,Slot 12,,12,[],http://192.168.65.40:8000/api/dcim/module-bays/23/
2026-03-01T04:57:27.093746Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 13,http://192.168.65.40:8000/dcim/module-bays/24/,24,,,2026-03-01T05:11:09.943935Z,,Slot 13,,13,[],http://192.168.65.40:8000/api/dcim/module-bays/24/
2026-03-01T05:16:33.120177Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 0,http://192.168.65.40:8000/dcim/module-bays/25/,25,"{""description"": """", ""display"": ""Slot 0: EX9200-32XS (1)"", ""id"": 1, ""serial"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/modules/1/""}",,2026-03-01T05:16:33.120198Z,,Slot 0,,0,[],http://192.168.65.40:8000/api/dcim/module-bays/25/
2026-03-01T05:16:33.194739Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 1,http://192.168.65.40:8000/dcim/module-bays/26/,26,"{""description"": """", ""display"": ""Slot 1: EX9200-32XS (2)"", ""id"": 2, ""serial"": """", ""url"": ""http://192.168.65.40:8000/api/dcim/modules/2/""}",,2026-03-01T05:16:33.194761Z,,Slot 1,,1,[],http://192.168.65.40:8000/api/dcim/module-bays/26/
2026-03-01T05:16:33.253329Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 0,http://192.168.65.40:8000/dcim/module-bays/27/,27,,,2026-03-01T05:16:33.253348Z,,Slot 0,,0,[],http://192.168.65.40:8000/api/dcim/module-bays/27/
2026-03-01T05:16:33.312850Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch2"", ""id"": 41, ""name"": ""ncsu-coreswitch2"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/41/""}",Slot 1,http://192.168.65.40:8000/dcim/module-bays/28/,28,,,2026-03-01T05:16:33.312870Z,,Slot 1,,1,[],http://192.168.65.40:8000/api/dcim/module-bays/28/
