allocated_disk,allocated_memory,allocated_vcpus,comments,created,description,device_count,display,display_url,id,last_updated,name,owner,scope,scope_id,scope_type,tenant,url,virtualmachine_count
,,,,2026-03-01T05:02:31.970031Z,,0,gc-europe-west6,http://192.168.65.40:8000/virtualization/clusters/23/,23,2026-03-01T05:02:31.970048Z,gc-europe-west6,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/23/,0
,,,,2026-03-01T05:02:32.027637Z,,0,gc-northamerica-northeast1,http://192.168.65.40:8000/virtualization/clusters/24/,24,2026-03-01T05:02:32.027653Z,gc-northamerica-northeast1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/24/,0
,,,,2026-03-01T05:02:32.085189Z,,0,gc-southamerica-southeast1,http://192.168.65.40:8000/virtualization/clusters/25/,25,2026-03-01T05:02:32.085207Z,gc-southamerica-southeast1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/25/,0
,,,,2026-03-01T05:02:32.142848Z,,0,gc-us-central1,http://192.168.65.40:8000/virtualization/clusters/26/,26,2026-03-01T05:02:32.142864Z,gc-us-central1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/26/,0
,,,,2026-03-01T05:02:32.202237Z,,0,gc-us-east1,http://192.168.65.40:8000/virtualization/clusters/27/,27,2026-03-01T05:02:32.202254Z,gc-us-east1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/27/,0
,,,,2026-03-01T05:02:32.272940Z,,0,gc-us-east4,http://192.168.65.40:8000/virtualization/clusters/28/,28,2026-03-01T05:02:32.272959Z,gc-us-east4,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/28/,0
,,,,2026-03-01T05:02:32.330086Z,,0,gc-us-west1,http://192.168.65.40:8000/virtualization/clusters/29/,29,2026-03-01T05:02:32.330103Z,gc-us-west1,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/29/,0
,,,,2026-03-01T05:02:32.396033Z,,0,gc-us-west2,http://192.168.65.40:8000/virtualization/clusters/30/,30,2026-03-01T05:02:32.396061Z,gc-us-west2,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/30/,0
,,,,2026-03-01T05:02:32.458915Z,,0,gc-us-west3,http://192.168.65.40:8000/virtualization/clusters/31/,31,2026-03-01T05:02:32.458933Z,gc-us-west3,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/31/,0
,,,,2026-03-01T05:02:32.516635Z,,0,gc-us-west4,http://192.168.65.40:8000/virtualization/clusters/32/,32,2026-03-01T05:02:32.516653Z,gc-us-west4,,,,,,http://192.168.65.40:8000/api/virtualization/clusters/32/,0
